# SOURCE: Derived from daily_weather_openfield-research.csv and pv_microclimate_factors-research.csv
# DATE: 2026-02-23
# DESCRIPTION: Daily weather under agri-PV panels (spatial average at crop level). Open-field weather adjusted by microclimate factors for density_variant=medium (GCR=50%).
# UNITS: date=YYYY-MM-DD, temp_max_c=Celsius, temp_min_c=Celsius, solar_irradiance_kwh_m2=kWh/m2/day, wind_speed_ms=m/s, precip_mm=mm/day
# LOGIC: temp_new = temp_openfield + temp_adjustment_c (-1.50C); solar_new = solar_openfield * irradiance_multiplier (0.50); wind_new = wind_openfield * wind_speed_multiplier (0.85). Precipitation passed through unchanged (no panel interception in factors).
# DEPENDENCIES: daily_weather_openfield-*.csv, pv_microclimate_factors-*.csv
# ASSUMPTIONS: Microclimate factors represent spatial average across planted area. Panel height 3m, fixed-tilt 28deg. Values from peer-reviewed agri-PV studies.
# DENSITY_VARIANT: medium (ground_coverage_pct=50)
date,temp_max_c,temp_min_c,solar_irradiance_kwh_m2,wind_speed_ms,precip_mm,weather_scenario_id
2019-12-01,22.94,17.19,2.11,4.99,0.0,001
2019-12-02,22.96,15.86,2.1,5.16,0.0,001
2019-12-03,20.85,15.42,2.17,3.05,0.0,001
2019-12-04,22.66,15.66,2.15,2.86,0.0,001
2019-12-05,23.06,16.27,2.08,3.96,0.0,001
2019-12-06,22.17,15.97,2.07,6.45,0.05,001
2019-12-07,20.85,13.4,2.06,5.42,0.0,001
2019-12-08,19.04,14.83,1.99,4.78,0.0,001
2019-12-09,20.35,14.61,2.0,4.05,0.0,001
2019-12-10,22.04,17.12,1.96,1.54,0.0,001
2019-12-11,22.64,17.05,1.72,1.49,0.0,001
2019-12-12,22.2,14.49,1.9,4.88,0.0,001
2019-12-13,18.95,12.58,1.92,4.77,0.0,001
2019-12-14,19.18,13.09,1.97,3.84,0.0,001
2019-12-15,20.8,13.08,1.85,4.04,0.03,001
2019-12-16,20.49,12.82,1.94,3.46,0.0,001
2019-12-17,21.1,13.37,2.03,3.2,0.0,001
2019-12-18,22.14,14.72,2.09,2.32,0.0,001
2019-12-19,22.03,14.41,2.13,2.76,0.0,001
2019-12-20,21.54,13.91,2.12,3.02,0.0,001
2019-12-21,20.86,14.69,1.96,2.89,0.0,001
2019-12-22,20.3,14.94,2.06,3.05,0.0,001
2019-12-23,21.76,14.5,2.08,2.01,0.0,001
2019-12-24,20.61,12.29,2.04,3.03,0.0,001
2019-12-25,18.29,11.99,1.58,5.98,0.0,001
2019-12-26,18.37,11.5,1.66,5.18,0.01,001
2019-12-27,17.25,12.52,1.86,5.47,0.0,001
2019-12-28,17.27,11.31,2.02,3.09,0.0,001
2019-12-29,17.92,11.74,2.06,2.5,0.0,001
2019-12-30,19.46,12.1,2.03,3.97,0.0,001
2019-12-31,16.97,10.32,1.92,4.22,0.0,001
2020-01-01,18.25,12.33,1.74,3.77,0.0,001
2020-01-02,18.25,12.93,1.96,4.82,0.0,001
2020-01-03,15.54,10.21,2.1,5.52,0.0,001
2020-01-04,14.99,9.16,1.64,5.67,0.03,001
2020-01-05,15.19,9.38,2.1,3.92,0.01,001
